is_ublend,P,P_expected,Lambda,N,b,s,E,A,L,nb,Q
False,0.9,1.0,8000,2,3,10,8000,151,164,51,0.3151177
False,0.9,0.9000447,8000,35,3,10,4002,178,191,21,0.4645817
False,0.9,0.9000202,8000,45,3,10,3992,240,253,15,0.5371366
False,0.9,0.900328,8000,49,3,10,2668,157,170,15,0.5692909
False,0.9,0.9000823,8000,44,3,10,4008,236,249,15,0.5290784
False,0.9,0.9001397,8000,30,3,10,3995,148,161,25,0.4352874
False,0.9,0.9000314,8000,48,3,10,3990,259,272,14,0.5628757
False,0.9,0.9000489,8000,50,3,10,2664,160,173,15,0.5770611
False,0.9,0.9000654,8000,47,3,10,4001,254,267,14,0.5537414
False,0.9,0.900007,8000,46,3,10,3997,246,259,15,0.5459452
False,0.9,0.900535,8000,40,3,10,4008,211,224,17,0.4985537
False,0.9,0.9000632,8000,75,3,10,2666,264,277,9,0.7823267
False,0.9,0.9000725,8000,66,3,10,2669,227,240,10,0.7012621
False,0.9,0.9000661,8000,65,3,10,2667,220,233,11,0.6916768
False,0.9,0.9000016,8000,100,3,10,2663,419,432,5,1.121369
False,0.9,0.9000383,8000,85,3,10,2662,317,330,7,0.8950629
False,0.9,0.9000752,8000,80,3,10,2666,289,302,8,0.8345682
False,0.9,0.900008,8000,70,3,10,2664,241,254,10,0.7352637
False,0.9,0.9000396,8000,55,3,10,2664,180,193,13,0.6112582
False,0.9,0.9000922,8000,60,3,10,2669,200,213,12,0.6507415
False,0.9,0.9000884,8000,72,3,10,2667,253,266,9,0.7562923
False,0.9,0.9000062,8000,95,3,10,2665,372,385,6,1.016745
False,0.9,0.9000638,8000,73,3,10,2669,257,270,9,0.7651504
False,0.9,0.9000973,8000,69,3,10,2669,238,251,10,0.7270141
False,0.9,0.9000238,8000,64,3,10,2662,216,229,11,0.6834355
False,0.9,1.0,8000,1,3,10,8000,151,164,51,0.3151177
False,0.9,0.9000062,8000,71,3,10,2665,249,262,9,0.747421
False,0.9,0.900055,8000,68,3,10,2667,234,247,10,0.7181274
False,0.9,0.9000173,8000,67,3,10,2663,230,243,10,0.7096995
False,0.9,0.9000332,8000,90,3,10,1999,249,262,7,0.9526286
False,0.9,0.9000411,8000,20,3,10,4796,150,163,30,0.3963152
False,0.9,0.9000086,10000,80,3,10,3334,274,287,11,0.6706359
False,0.9,0.9000298,10000,100,3,10,3334,365,378,8,0.8259453
False,0.9,0.0,116,50,3,10,0,0,13,0,2147483647.0
False,0.9,0.9000064,8000,25,3,10,4182,135,148,29,0.4162019
False,0.9,0.9000568,10000,90,3,10,3335,320,333,9,0.7464885
False,0.9,0.9000089,10000,60,3,10,3365,198,211,15,0.5442071
False,0.9,0.9000241,10000,75,3,10,3332,253,266,12,0.6366916
False,0.9,0.9000617,10000,85,3,10,3333,296,309,10,0.7069758
False,0.9,0.900081,10000,65,3,10,3335,214,227,14,0.5732769
