t,node,discovery_rate,Na,average_Na,average_Ne,pos_x,pos_y,min_discovery_rate,max_discovery_rate,stdev_discovery_rate
8079,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8080,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8081,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8082,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8083,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8084,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8085,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8086,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8087,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8088,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8089,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8090,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8091,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8092,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8093,,0.175,80,79.0,30.0,,,0.16455696202531644,0.17721518987341772,0.004840055650818856
8094,,0.1875,80,79.0,30.0,,,0.17721518987341772,0.189873417721519,0.004971834657870614
8095,,0.1875,80,79.0,30.0,,,0.17721518987341772,0.189873417721519,0.004971834657870614
8096,,0.1875,80,79.0,30.0,,,0.17721518987341772,0.189873417721519,0.004971834657870614
8097,,0.1875,80,79.0,30.0,,,0.17721518987341772,0.189873417721519,0.004971834657870614
8098,,0.2,80,79.0,30.0,,,0.189873417721519,0.20253164556962025,0.005095236510649387
8099,,0.2,80,79.0,30.0,,,0.189873417721519,0.20253164556962025,0.005095236510649387
8100,,0.2,80,79.0,30.0,,,0.189873417721519,0.20253164556962025,0.005095236510649387
8101,,0.2125,80,79.0,30.0,,,0.20253164556962025,0.21518987341772153,0.005210856398498934
8102,,0.2125,80,79.0,30.0,,,0.20253164556962025,0.21518987341772153,0.005210856398498934
8103,,0.2125,80,79.0,30.0,,,0.20253164556962025,0.21518987341772153,0.005210856398498934
8104,,0.225,80,79.0,30.0,,,0.21518987341772153,0.22784810126582278,0.005319201799534509
8105,,0.225,80,79.0,30.0,,,0.21518987341772153,0.22784810126582278,0.005319201799534509
8106,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8107,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8108,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8109,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8110,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8111,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8112,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8113,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8114,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8115,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8116,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8117,,0.2375,80,79.0,30.0,,,0.22784810126582278,0.24050632911392406,0.005420708923622137
8118,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8119,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8120,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8121,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8122,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8123,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8124,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8125,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8126,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8127,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8128,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8129,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8130,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8131,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8132,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8133,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8134,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8135,,0.25,80,79.0,30.0,,,0.24050632911392406,0.25316455696202533,0.005515755320640449
8136,,0.2625,80,79.0,30.0,,,0.25316455696202533,0.26582278481012656,0.005604669691585873
8137,,0.2625,80,79.0,30.0,,,0.25316455696202533,0.26582278481012656,0.005604669691585873
8138,,0.2625,80,79.0,30.0,,,0.25316455696202533,0.26582278481012656,0.005604669691585873
8139,,0.2625,80,79.0,30.0,,,0.25316455696202533,0.26582278481012656,0.005604669691585873
8140,,0.27499999999999997,80,79.0,30.0,,,0.26582278481012656,0.27848101265822783,0.00568773962294874
8141,,0.27499999999999997,80,79.0,30.0,,,0.26582278481012656,0.27848101265822783,0.00568773962294874
8142,,0.27499999999999997,80,79.0,30.0,,,0.26582278481012656,0.27848101265822783,0.00568773962294874
8143,,0.2875,80,79.0,30.0,,,0.27848101265822783,0.2911392405063291,0.005765217754535553
8144,,0.2875,80,79.0,30.0,,,0.27848101265822783,0.2911392405063291,0.005765217754535553
8145,,0.2875,80,79.0,30.0,,,0.27848101265822783,0.2911392405063291,0.005765217754535553
